MSG_ID,FRAG_ID,MSG_TYPE,DATA_LEN,ERROR,retires,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,,DATA,191,NONE,1,8096280,8108122,1612767327669,1612767328709
2,,DATA,198,NONE,1,14240659,14258244,1612767333678,1612767334859
3,,DATA,160,NONE,1,20300371,20314764,1612767339688,1612767340915
4,,DATA,132,NONE,1,26228805,26240757,1612767345698,1612767346841
5,,DATA,187,NONE,1,32183581,32197530,1612767351703,1612767352798
6,,DATA,136,NONE,1,38320327,38331225,1612767357710,1612767358931
7,,DATA,223,NONE,1,44264413,44275524,1612767363716,1612767364875
8,,DATA,215,NONE,1,50196427,50210898,1612767369722,1612767370811
9,,DATA,170,NONE,1,56244363,56257401,1612767375732,1612767376857
10,,DATA,159,NONE,1,62181002,62191861,1612767381737,1612767382791
11,,DATA,193,NONE,1,68325366,68337284,1612767387748,1612767388937
12,,DATA,211,NONE,1,74273975,74287690,1612767393754,1612767394887
13,,DATA,170,NONE,1,80211606,80223212,1612767399764,1612767400823
14,,DATA,197,NONE,1,86353478,86366180,1612767405770,1612767406966
15,,DATA,168,NONE,1,92299623,92311482,1612767411780,1612767412911
16,,DATA,150,NONE,1,98246433,98258083,1612767417790,1612767418857
17,,DATA,138,NONE,1,104383252,104413261,1612767423797,1612767425012
18,,DATA,173,NONE,1,110334636,110346603,1612767429804,1612767430946
19,,DATA,108,NONE,1,116264287,116278513,1612767435812,1612767436877
20,,DATA,154,NONE,1,122413975,122425923,1612767441821,1612767443025
21,,DATA,242,NONE,1,128252362,128362991,1612767447830,1612767449997
22,,DATA,125,NONE,1,134294721,134305402,1612767453838,1612767454905
23,,DATA,126,NONE,1,140436580,140447188,1612767459847,1612767461047
24,,DATA,124,NONE,1,146385217,146394406,1612767465855,1612767466994
25,,DATA,252,NONE,1,152323877,152341829,1612767471863,1612767472942
26,,DATA,137,NONE,1,158471577,158489321,1612767477870,1612767479089
27,,DATA,177,NONE,1,164415589,164428026,1612767483876,1612767485028
28,,DATA,177,NONE,1,170358497,170368361,1612767489884,1612767490968
29,,DATA,177,NONE,1,176495745,176506447,1612767495891,1612767497106
30,,DATA,184,NONE,1,182444757,182456005,1612767501897,1612767503056
31,,DATA,122,NONE,1,188382470,188393938,1612767507902,1612767508993
32,,DATA,128,NONE,1,194528669,194538176,1612767513908,1612767515137
33,,DATA,141,NONE,1,200472639,200484571,1612767519914,1612767521085
34,,DATA,148,NONE,1,206415446,206428506,1612767525924,1612767527028
35,,DATA,208,NONE,1,212557384,212569255,1612767531931,1612767533168
36,,DATA,181,NONE,1,220756241,220773500,1612767537938,1612767541373
37,,DATA,112,NONE,1,224546152,224556038,1612767543947,1612767545155
38,,DATA,120,NONE,1,230482633,230492711,1612767549956,1612767551091
39,,DATA,106,NONE,1,236431906,236444538,1612767555963,1612767557044
40,,DATA,118,NONE,1,242575990,242586215,1612767561974,1612767563185
41,,DATA,219,NONE,1,248516445,248526742,1612767567980,1612767569126
42,,DATA,149,NONE,1,254462162,254498219,1612767573988,1612767575074
43,,DATA,154,NONE,1,260416203,260528703,1612767579997,1612767581025
44,,DATA,179,NONE,1,266548050,266662342,1612767586003,1612767587159
45,,DATA,218,NONE,1,272489432,272603928,1612767592012,1612767593099
46,,DATA,114,NONE,1,278640341,278754880,1612767598019,1612767599251
47,,DATA,107,NONE,1,284575053,284692842,1612767604026,1612767605189
48,,DATA,216,NONE,1,290520122,290633395,1612767610035,1612767611129
49,,DATA,194,NONE,1,296664426,296779582,1612767616045,1612767617275
50,,DATA,142,NONE,1,302602479,302715716,1612767622051,1612767623211
