MSG_ID,FRAG_ID,MSG_TYPE,DATA_LEN,ERROR,retires,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,,DATA,210,NONE,1,13863613,13878535,1612768346731,1612768347929
2,,DATA,194,NONE,1,16731268,16749894,1612768349741,1612768350800
3,,DATA,145,NONE,1,19808991,19819848,1612768352748,1612768353870
4,,DATA,233,NONE,1,23090970,23104502,1612768355757,1612768357155
5,,DATA,199,NONE,1,25855768,25868754,1612768358766,1612768359919
6,,DATA,181,NONE,1,28923321,28936599,1612768361772,1612768362987
7,,DATA,195,NONE,1,31793764,31807371,1612768364777,1612768365858
8,,DATA,205,NONE,1,34866855,34879299,1612768367786,1612768368929
9,,DATA,137,NONE,1,37933338,37945365,1612768370793,1612768371995
10,,DATA,143,NONE,1,40808335,40820775,1612768373803,1612768374871
11,,DATA,206,NONE,1,43881685,43893465,1612768376810,1612768377943
12,,DATA,170,NONE,1,46952528,46967873,1612768379819,1612768381019
13,,DATA,224,NONE,1,49822044,49833963,1612768382825,1612768383884
14,,DATA,198,NONE,1,52896032,52908553,1612768385833,1612768386958
15,,DATA,148,NONE,1,55965847,55977626,1612768388842,1612768390027
16,,DATA,207,NONE,1,58937451,58950610,1612768391849,1612768393000
17,,DATA,209,NONE,1,62011215,62024854,1612768394856,1612768396075
18,,DATA,114,NONE,1,65074533,65085962,1612768397865,1612768399136
19,,DATA,120,NONE,1,67949735,67961032,1612768400874,1612768402011
20,,DATA,115,NONE,1,71019776,71030126,1612768403880,1612768405081
21,,DATA,194,NONE,1,73889909,73900901,1612768406888,1612768407952
22,,DATA,217,NONE,1,76964763,76975339,1612768409892,1612768411026
23,,DATA,219,NONE,1,80035249,80046390,1612768412900,1612768414097
24,,DATA,193,NONE,1,82902921,82923135,1612768415909,1612768416974
25,,DATA,188,NONE,1,85975279,85988210,1612768418917,1612768420039
26,,DATA,160,NONE,1,89048386,89058870,1612768421925,1612768423110
27,,DATA,224,NONE,1,91920150,91934319,1612768424932,1612768425985
28,,DATA,203,NONE,1,94992972,95004484,1612768427941,1612768429055
29,,DATA,204,NONE,1,98064652,98076023,1612768430949,1612768432127
30,,DATA,169,NONE,1,100933993,100943750,1612768433958,1612768434994
31,,DATA,171,NONE,1,104006010,104017937,1612768436962,1612768438069
32,,DATA,128,NONE,1,107079982,107089344,1612768439973,1612768441140
33,,DATA,111,NONE,1,110151274,110161499,1612768442982,1612768444212
34,,DATA,138,NONE,1,113025425,113038170,1612768445990,1612768447089
35,,DATA,171,NONE,1,116092032,116103137,1612768448996,1612768450153
36,,DATA,223,NONE,1,118974529,118988952,1612768452005,1612768453039
37,,DATA,178,NONE,1,122030407,122041475,1612768455012,1612768456092
38,,DATA,190,NONE,1,125107691,125120194,1612768458022,1612768459170
39,,DATA,165,NONE,1,128000563,128012762,1612768461032,1612768462064
40,,DATA,174,NONE,1,131150324,131162802,1612768464040,1612768465212
41,,DATA,113,NONE,1,134222579,134234622,1612768467050,1612768468284
42,,DATA,242,NONE,1,137090419,137102876,1612768470056,1612768471152
43,,DATA,232,NONE,1,140162057,140174463,1612768473066,1612768474224
44,,DATA,120,NONE,1,143237103,143248784,1612768476073,1612768477298
45,,DATA,194,NONE,1,146101146,146113635,1612768479082,1612768480163
46,,DATA,118,NONE,1,149177830,149188052,1612768482089,1612768483237
47,,DATA,159,NONE,1,152062661,152074258,1612768485095,1612768486123
48,,DATA,111,NONE,1,155115301,155126123,1612768488103,1612768489175
49,,DATA,213,NONE,1,158464979,158489879,1612768491111,1612768492540
50,,DATA,153,NONE,1,161268922,161279473,1612768494115,1612768495328
51,,DATA,127,NONE,1,164130373,164142027,1612768497120,1612768498192
52,,DATA,168,NONE,1,167210100,167222081,1612768500127,1612768501271
53,,DATA,111,NONE,1,170282071,170293163,1612768503133,1612768504342
54,,DATA,120,NONE,1,173156667,173167822,1612768506140,1612768507216
55,,DATA,124,NONE,1,176232289,176243277,1612768509143,1612768510292
56,,DATA,131,NONE,1,179298756,179310205,1612768512150,1612768513359
57,,DATA,176,NONE,1,182164272,182179607,1612768515155,1612768516228
58,,DATA,137,NONE,1,185258948,185270566,1612768518164,1612768519319
59,,DATA,121,NONE,1,188184833,188196329,1612768521172,1612768522245
60,,DATA,159,NONE,1,191192565,191212898,1612768524181,1612768525257
61,,DATA,148,NONE,1,194254065,194270706,1612768527187,1612768528314
62,,DATA,131,NONE,1,197341503,197360310,1612768530195,1612768531404
63,,DATA,188,NONE,1,200190211,200207164,1612768533203,1612768534252
64,,DATA,205,NONE,1,203370656,203389011,1612768536207,1612768537433
65,,DATA,170,NONE,1,206237487,206254278,1612768539212,1612768540299
66,,DATA,208,NONE,1,209309616,209327142,1612768542221,1612768543370
67,,DATA,168,NONE,1,212382811,212398480,1612768545231,1612768546443
68,,DATA,189,NONE,1,215253082,215270139,1612768548237,1612768549313
69,,DATA,231,NONE,1,218321657,218339828,1612768551245,1612768552383
70,,DATA,154,NONE,1,221296490,221313288,1612768554255,1612768555357
71,,DATA,137,NONE,1,224368958,224384273,1612768557263,1612768558427
72,,DATA,213,NONE,1,227443208,227460466,1612768560272,1612768561504
73,,DATA,151,NONE,1,230307007,230325577,1612768563279,1612768564369
74,,DATA,120,NONE,1,233378723,233395693,1612768566288,1612768567440
75,,DATA,111,NONE,1,236453683,236468872,1612768569294,1612768570512
76,,DATA,145,NONE,1,239425240,239443925,1612768572304,1612768573488
77,,DATA,160,NONE,1,242294435,242311139,1612768575307,1612768576355
78,,DATA,143,NONE,1,245364190,245381723,1612768578315,1612768579425
79,,DATA,179,NONE,1,248451346,248569371,1612768581323,1612768582512
80,,DATA,136,NONE,1,254176066,256438701,1612768584328,1612768588355
81,,DATA,136,NONE,1,254378445,256522557,1612768587338,1612768588439
82,,DATA,184,NONE,1,257455988,257484479,1612768590344,1612768591517
83,,DATA,110,NONE,1,260535308,260239388,1612768593353,1612768594595
84,,DATA,187,NONE,1,263397687,263410490,1612768596358,1612768597460
85,,DATA,201,NONE,1,266467571,266482382,1612768599363,1612768600532
86,,DATA,208,NONE,1,269541706,269553691,1612768602371,1612768603603
87,,DATA,115,NONE,1,272408864,272423364,1612768605381,1612768606473
88,,DATA,210,NONE,1,275482532,275496534,1612768608387,1612768609546
89,,DATA,144,NONE,1,278552361,278562879,1612768611397,1612768612612
90,,DATA,154,NONE,1,281423175,281434754,1612768614402,1612768615484
91,,DATA,117,NONE,1,284491577,284501727,1612768617411,1612768618551
92,,DATA,159,NONE,1,287569448,287583469,1612768620417,1612768621633
93,,DATA,156,NONE,1,290432481,290446457,1612768623423,1612768624496
94,,DATA,180,NONE,1,293610924,293620976,1612768626431,1612768627670
95,,DATA,230,NONE,1,296477969,296491615,1612768629439,1612768630540
96,,DATA,215,NONE,1,299551048,299566265,1612768632446,1612768633615
97,,DATA,149,NONE,1,302627328,302638667,1612768635453,1612768636687
98,,DATA,163,NONE,1,305493571,305504248,1612768638461,1612768639553
99,,DATA,173,NONE,1,308560785,308571983,1612768641471,1612768642621
100,,DATA,206,NONE,1,311534861,311546462,1612768644478,1612768645595
