MSG_ID,MSG_TYPE,DATA_LEN,ERROR,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,DATA,147,NONE,19499742,19506461,1612026343363,1612026345610
2,DATA,229,NONE,24741582,24787277,1612026346372,1612026350891
3,DATA,217,NONE,25800583,25807422,1612026349379,1612026351911
4,DATA,182,NONE,28405579,28413012,1612026352388,1612026354516
5,DATA,171,NONE,31478578,31485998,1612026355394,1612026357589
6,DATA,210,NONE,34346578,34352985,1612026358402,1612026360456
7,DATA,176,NONE,37418578,37425564,1612026361413,1612026363529
8,DATA,228,NONE,40489578,40514829,1612026364419,1612026366618
9,DATA,168,NONE,43459579,43466687,1612026367426,1612026369570
10,DATA,149,NONE,46531579,46538379,1612026370432,1612026372642
11,DATA,189,NONE,49399579,49406247,1612026373442,1612026375509
12,DATA,150,NONE,52465578,52471855,1612026376448,1612026378575
13,DATA,214,NONE,55542580,55549397,1612026379457,1612026381652
14,DATA,138,NONE,58409580,58421689,1612026382467,1612026384525
15,DATA,148,NONE,61585691,61592485,1612026385474,1612026387696
16,DATA,228,NONE,64452578,64459373,1612026388482,1612026390562
17,DATA,148,NONE,67523580,67530894,1612026391490,1612026393634
18,DATA,179,NONE,70595596,70614909,1612026394499,1612026396712
19,DATA,184,NONE,73463574,73476077,1612026397505,1612026399573
20,DATA,107,NONE,76535574,76590712,1612026400513,1612026402688
21,DATA,201,NONE,79505578,79518384,1612026403517,1612026405615
22,DATA,191,NONE,82578574,82590885,1612026406527,1612026408688
23,DATA,219,NONE,85650574,85663296,1612026409531,1612026411760
24,DATA,173,NONE,88516575,88529360,1612026412540,1612026414626
25,DATA,176,NONE,91588575,91600607,1612026415547,1612026417698
26,DATA,199,NONE,94661574,94766430,1612026418555,1612026420863
27,DATA,153,NONE,97530574,97543341,1612026421560,1612026423640
28,DATA,115,NONE,100600576,100612661,1612026424568,1612026426710
29,DATA,200,NONE,103674575,103687827,1612026427575,1612026429785
30,DATA,175,NONE,106541576,106554017,1612026430582,1612026432651
31,DATA,236,NONE,109609583,109621535,1612026433592,1612026435718
32,DATA,200,NONE,112685576,112701263,1612026436598,1612026438799
33,DATA,186,NONE,116987579,117523932,1612026439603,1612026443620
34,DATA,153,NONE,118624575,118636958,1612026442607,1612026444734
35,DATA,114,NONE,121698575,121710861,1612026445618,1612026447807
36,DATA,162,NONE,124564575,124577036,1612026448627,1612026450674
37,DATA,187,NONE,127636576,127649445,1612026451632,1612026453746
38,DATA,236,NONE,130711575,130722899,1612026454637,1612026456823
39,DATA,155,NONE,133577576,133586022,1612026457645,1612026459686
40,DATA,224,NONE,136649576,136657907,1612026460654,1612026462758
41,DATA,204,NONE,139721579,139730378,1612026463660,1612026465831
42,DATA,133,NONE,142792575,142802330,1612026466666,1612026468903
43,DATA,178,NONE,145660576,145669667,1612026469672,1612026471771
44,DATA,185,NONE,151801576,151810390,1612026472682,1612026477911
45,DATA,166,NONE,154673576,154682068,1612026475691,1612026480782
46,,200,TIMEDOUT,,,1612026478697,1612026488903
47,,176,TIMEDOUT,,,1612026481703,1612026491925
48,,161,TIMEDOUT,,,1612026484709,1612026494939
49,,187,TIMEDOUT,,,1612026487717,1612026497959
46,,200,TIMEDOUT,,,1612026488904,1612026498964
50,,172,TIMEDOUT,,,1612026490727,1612026500978
47,,176,TIMEDOUT,,,1612026491926,1612026501981
51,,204,TIMEDOUT,,,1612026493734,1612026503993
48,,161,TIMEDOUT,,,1612026494940,1612026504998
52,,200,TIMEDOUT,,,1612026496744,1612026507009
49,,187,TIMEDOUT,,,1612026497959,1612026508012
46,,200,TIMEDOUT,,,1612026499754,1612026510021
50,,172,TIMEDOUT,,,1612026500979,1612026511028
47,,176,TIMEDOUT,,,1612026502762,1612026513041
51,,204,TIMEDOUT,,,1612026503993,1612026514047
48,,161,TIMEDOUT,,,1612026505770,1612026516060
52,,200,TIMEDOUT,,,1612026507009,1612026517067
49,,187,TIMEDOUT,,,1612026508778,1612026519079
46,,200,TIMEDOUT,,,1612026510022,1612026520084
50,,172,TIMEDOUT,,,1612026511787,1612026522095
47,,176,TIMEDOUT,,,1612026513042,1612026523097
51,,204,TIMEDOUT,,,1612026514795,1612026525105
48,,161,TIMEDOUT,,,1612026516061,1612026526111
52,,200,TIMEDOUT,,,1612026517804,1612026528118
49,,187,TIMEDOUT,,,1612026519080,1612026529126
46,,200,TIMEDOUT,,,1612026520814,1612026531141
50,,172,TIMEDOUT,,,1612026522095,1612026532145
47,,176,TIMEDOUT,,,1612026523819,1612026534152
51,,204,TIMEDOUT,,,1612026525105,1612026535154
48,,161,TIMEDOUT,,,1612026526825,1612026537159
52,,200,TIMEDOUT,,,1612026528118,1612026538161
49,,187,TIMEDOUT,,,1612026529833,1612026540175
50,,172,TIMEDOUT,,,1612026532145,1612026542186
51,,204,TIMEDOUT,,,1612026535154,1612026545201
52,,200,TIMEDOUT,,,1612026538162,1612026548218
53,,123,TIMEDOUT,,,1612026541864,1612026552232
54,,225,TIMEDOUT,,,1612026544872,1612026555247
55,,147,TIMEDOUT,,,1612026547882,1612026558256
56,,160,TIMEDOUT,,,1612026550890,1612026561271
53,,123,TIMEDOUT,,,1612026552232,1612026562278
57,,182,TIMEDOUT,,,1612026553898,1612026564290
54,,225,TIMEDOUT,,,1612026555248,1612026565295
58,,158,TIMEDOUT,,,1612026556903,1612026567304
55,,147,TIMEDOUT,,,1612026558256,1612026568310
59,,174,TIMEDOUT,,,1612026559912,1612026570323
56,,160,TIMEDOUT,,,1612026561272,1612026571332
53,,123,TIMEDOUT,,,1612026562920,1612026573340
57,,182,TIMEDOUT,,,1612026564290,1612026574345
54,,225,TIMEDOUT,,,1612026565925,1612026576356
58,,158,TIMEDOUT,,,1612026567304,1612026577358
55,,147,TIMEDOUT,,,1612026568933,1612026579369
59,,174,TIMEDOUT,,,1612026570324,1612026580375
56,,160,TIMEDOUT,,,1612026571938,1612026582385
53,,123,TIMEDOUT,,,1612026573340,1612026583393
57,,182,TIMEDOUT,,,1612026574943,1612026585401
54,,225,TIMEDOUT,,,1612026576357,1612026586408
58,,158,TIMEDOUT,,,1612026577952,1612026588418
55,,147,TIMEDOUT,,,1612026579370,1612026589423
59,,174,TIMEDOUT,,,1612026580958,1612026591434
56,,160,TIMEDOUT,,,1612026582386,1612026592440
53,,123,TIMEDOUT,,,1612026583968,1612026594448
57,,182,TIMEDOUT,,,1612026585402,1612026595454
54,,225,TIMEDOUT,,,1612026586975,1612026597464
58,,158,TIMEDOUT,,,1612026588419,1612026598469
55,,147,TIMEDOUT,,,1612026589982,1612026600483
59,,174,TIMEDOUT,,,1612026591434,1612026601490
56,,160,TIMEDOUT,,,1612026592990,1612026603000
