MSG_ID,MSG_TYPE,DATA_LEN,ERROR,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,DATA,213,NONE,10702855,11555991,1612026914595,1612026917620
2,DATA,140,NONE,12741583,13654340,1612026916604,1612026919630
3,DATA,200,NONE,14791580,15703839,1612026918614,1612026921639
4,DATA,137,NONE,16633586,17545252,1612026920622,1612026923646
5,DATA,210,NONE,18682586,19592634,1612026922627,1612026925650
6,DATA,234,NONE,21143692,21790897,1612026924633,1612026927656
7,DATA,215,NONE,22676586,23585999,1612026926638,1612026929659
8,DATA,176,NONE,24724603,25635914,1612026928642,1612026931666
9,DATA,122,NONE,26771587,27681907,1612026930651,1612026933673
10,DATA,197,NONE,28819580,29729952,1612026932656,1612026935678
11,DATA,135,NONE,30868706,31667373,1612026934663,1612026937685
12,DATA,213,NONE,32710558,33674543,1612026936668,1612026939692
13,DATA,173,NONE,34758560,35680079,1612026938678,1612026941697
14,DATA,140,NONE,36809560,37686528,1612026940683,1612026943704
15,DATA,144,NONE,39061559,39693968,1612026942691,1612026945711
16,DATA,176,NONE,40905559,41696419,1612026944697,1612026947713
17,DATA,120,NONE,42748560,43704682,1612026946701,1612026949723
18,DATA,208,NONE,44790560,45712000,1612026948708,1612026951730
19,DATA,205,NONE,46844559,47718497,1612026950715,1612026953735
20,DATA,135,NONE,48890560,49727421,1612026952722,1612026955744
21,DATA,116,NONE,50938559,51733561,1612026954731,1612026957750
22,DATA,165,NONE,52782558,53740207,1612026956737,1612026959757
23,DATA,234,NONE,54833558,55746455,1612026958742,1612026961763
24,DATA,129,NONE,56777559,57751956,1612026960750,1612026963770
25,DATA,187,NONE,58825558,59756739,1612026962755,1612026965774
26,DATA,233,NONE,60873559,61766561,1612026964760,1612026967784
27,DATA,174,NONE,62922558,63776658,1612026966770,1612026969793
28,DATA,218,NONE,66271634,66301212,1612026968779,1612026972319
29,DATA,196,NONE,67286603,67793373,1612026970787,1612026973811
30,DATA,160,NONE,68859560,69804719,1612026972797,1612026975822
31,DATA,202,NONE,70910559,71812256,1612026974808,1612026977829
32,DATA,222,NONE,72959560,73814540,1612026976813,1612026979832
33,DATA,146,NONE,75107559,75822598,1612026978819,1612026981840
34,DATA,224,NONE,76854709,77829739,1612026980824,1612026983847
35,DATA,114,NONE,78896563,79839540,1612026982834,1612026985856
36,DATA,160,NONE,80943563,81847784,1612026984843,1612026987865
37,DATA,205,NONE,82992564,83853579,1612026986851,1612026989871
38,DATA,191,NONE,85039564,85862712,1612026988857,1612026991879
39,DATA,230,NONE,86885564,87872673,1612026990865,1612026993891
40,DATA,202,NONE,88931563,89882185,1612026992875,1612026995905
41,DATA,204,NONE,90981564,91889602,1612026994887,1612026997916
42,DATA,168,NONE,93030696,93926785,1612026996900,1612026999931
43,DATA,169,NONE,94973591,95882830,1612026998912,1612027001938
44,DATA,218,NONE,97022583,97932542,1612027000921,1612027003946
45,DATA,187,NONE,99070581,99982863,1612027002928,1612027005957
46,DATA,160,NONE,101119769,101925051,1612027004940,1612027007968
47,DATA,149,NONE,102961560,103929367,1612027006952,1612027009975
48,DATA,170,NONE,105009565,105934237,1612027008960,1612027011980
49,DATA,119,NONE,107056565,107943058,1612027010967,1612027013991
50,DATA,179,NONE,109107564,109948433,1612027012975,1612027015997
51,DATA,175,NONE,110964564,111958736,1612027014982,1612027018008
52,DATA,150,NONE,112997564,113966420,1612027016994,1612027020016
53,DATA,174,NONE,115049564,115974454,1612027019003,1612027022025
54,DATA,185,NONE,117093576,117982517,1612027021011,1612027024034
55,DATA,210,NONE,119142564,119989301,1612027023019,1612027026041
56,DATA,134,NONE,121190564,121999524,1612027025028,1612027028051
57,DATA,214,NONE,123031568,124004520,1612027027037,1612027030057
58,DATA,197,NONE,125081564,126011976,1612027029043,1612027032065
59,DATA,180,NONE,127130564,130226973,1612027031049,1612027036281
60,DATA,156,NONE,130256582,130277840,1612027033055,1612027036331
