MSG_ID,DATA_LEN,timeSent,timeRecv
1,213,9574280,9686842
2,140,11637034,11733194
3,200,13559339,13782040
4,137,15653724,15624907
5,210,17701014,17673018
6,234,19541466,20132664
7,215,21776386,21667091
8,176,23786844,23716469
9,122,25586284,25763564
10,197,27634484,27810635
11,135,29680241,29860374
12,213,31655276,31701717
13,173,33669406,33750692
14,140,35673420,35800995
15,144,37681414,38053557
16,176,39688490,39896091
17,120,41691406,41740991
18,208,43699431,43781391
19,205,45706427,45836047
20,135,47713416,47882833
21,116,49722405,49931140
22,165,51728420,51774520
23,234,53733433,53824274
24,129,55741420,55769219
25,187,57746484,57816937
26,233,59751442,59864988
27,174,61761413,61913800
28,218,63771430,65263110
29,196,65779406,66277107
30,160,67788381,67851775
31,202,69799420,69901491
32,222,71805433,71950107
33,146,73809414,74099895
34,224,75816496,75843572
35,114,77824520,77889340
36,160,79834408,79935872
37,205,81842433,81984200
38,191,83848418,84030910
39,230,85857438,85876739
40,202,87867425,87923878
41,204,89875431,89972354
42,168,91884419,92021474
43,169,93951455,93966194
44,218,95923565,96013582
45,187,97880182,98061975
46,160,99934767,100110502
47,149,101914166,101952905
48,170,103924246,104001272
49,119,105929251,106049851
50,179,107936269,108099093
51,175,109943274,109956678
52,150,111953323,111989409
53,174,113961271,114041005
54,185,115969268,116085270
55,210,117977279,118133865
56,134,119984252,120182591
57,214,121994278,122022815
58,197,123999269,124073625
59,180,126005273,126122399
60,156,128010246,129248231
61,190,130016328,130261707
62,117,132019214,132060585
63,213,134026278,134110351
64,151,136032259,136159346
65,197,138045381,138205755
66,138,140051256,140252939
67,188,142058275,142097333
68,209,144071279,144147448
69,209,146083281,146399061
70,152,148094329,148139097
71,175,150110275,150187173
72,138,152120259,152230361
73,139,154133266,154283408
74,221,156148276,156330135
75,111,158155264,158173908
76,224,160159276,160222041
77,112,162170261,162274211
78,129,164224521,164217302
79,151,166188240,166265129
80,210,168137168,168313121
81,149,170185204,170360730
82,189,172238805,172408531
83,220,174286766,174252916
84,136,176336737,176300109
85,195,178176335,178347690
86,138,180225216,180397876
87,233,182275332,182445727
88,119,184322711,184492522
89,157,186296820,186336466
90,161,188305945,188385385
91,105,190316968,190432423
92,171,192328972,192480621
93,127,194339966,194528380
94,203,196346962,196375639
95,148,198358071,198420463
96,191,200366975,200674962
97,143,202380039,202414767
98,212,204387970,204463406
99,142,206402953,206510181
100,146,208417957,208558252
101,160,210429971,210606165
102,185,212439983,212655305
103,222,214445986,214498237
104,141,216452953,216546536
105,172,218467986,218493427
106,153,220481015,221844822
107,133,222487948,222858644
108,185,224497945,224636139
109,174,226511958,226684878
110,177,228519977,228733020
111,230,230533990,230575357
112,143,232548967,232623305
113,200,234561982,234671989
114,216,236573984,236722203
115,109,238580029,238665389
116,195,240590982,240715272
117,217,242603983,242762183
118,139,244617967,244810577
119,175,246630974,246655637
120,152,248647974,248700816
121,210,250579119,250750240
122,135,252625170,252798643
123,219,254679213,255155855
124,224,256819559,256692784
125,168,258835429,258738023
126,141,260840297,260787829
127,143,262848317,262836890
128,178,264861312,264882945
129,169,266873321,266929704
130,215,268882319,268768751
131,225,270890332,270822336
132,155,272903319,272972166
133,197,274917388,274816307
134,151,276923311,276864050
135,147,278936314,278911853
136,213,280947320,280966532
137,168,282960316,282830676
138,130,284973302,284851985
139,160,286986315,286899477
140,214,289001322,288949480
141,242,291016348,291100143
142,143,293022377,292941955
143,194,295033325,294989844
144,224,297039320,297038818
145,167,299047321,299085999
146,222,301061320,301135491
147,198,303072328,302977265
148,178,305082311,305027441
149,221,307097330,307076079
150,199,309110327,309328963
