MSG_ID,FRAG_ID,DATA_LEN,timeSent,timeRecv
1,,191,8077132,8095322
2,,198,14085936,14239696
3,,160,20096106,20299387
4,,132,26104934,26227849
5,,187,32111945,32182626
6,,136,38116997,38319317
7,,223,44124938,44263450
8,,215,50130941,50195459
9,,170,56141008,56243401
10,,159,62145930,62180024
11,,193,68156811,68324377
12,,211,74162729,74273018
13,,170,80171810,80210626
14,,197,86178649,86352521
15,,168,92188735,92298658
16,,150,98198632,98245468
17,,138,104205638,104382312
18,,173,110212714,110333684
19,,108,116220628,116263320
20,,154,122229636,122413020
21,,242,128240805,128251349
22,,125,134245192,134293782
23,,126,140254216,140435619
24,,124,146262099,146384260
25,,252,152272035,152322939
26,,137,158277022,158470613
27,,177,164284099,164414631
28,,177,170292025,170357540
29,,177,176300027,176494798
30,,184,182306098,182443807
31,,122,188310016,188381515
32,,128,194315962,194527708
33,,141,200322993,200471660
34,,148,206332788,206414488
35,,208,212339799,212556435
36,,181,218347862,220755251
37,,112,224354782,224545042
38,,120,230363783,230481679
39,,106,236371850,236430945
40,,118,242382788,242575028
41,,219,248389795,248515504
42,,149,254420304,254461193
43,,154,260508561,260415241
44,,179,266515358,266547090
45,,218,272525417,272488496
46,,114,278531340,278639384
47,,107,284538343,284574080
48,,216,290548431,290519162
49,,194,296558356,296663484
50,,142,302563348,302601523
