MSG_ID,FRAG_ID,DATA_LEN,timeSent,timeRecv
1,,124,22953357,22963336
2,,139,24958168,24971680
3,,171,26967163,26993497
4,,117,28973156,28990217
5,,170,30983166,30992577
6,,202,32993181,33003124
7,,202,35001211,35013244
8,,145,37007165,37210443
9,,120,39016156,40367668
10,,159,41026167,41040123
11,,138,43033162,43043024
12,,219,45040170,45053563
13,,128,47043159,47052016
14,,125,49050157,49060211
15,,210,51060179,51080322
16,,169,53068164,53081035
17,,120,55076162,55181936
18,,181,57083168,57092861
19,,120,59092162,59102635
20,,111,61100151,61110425
21,,115,63110157,63277458
22,,182,65119161,65203519
23,,213,67125257,67136074
24,,196,69133228,69150293
25,,213,71142522,71153582
26,,154,73150507,73158939
27,,232,75160587,75190823
28,,136,77168513,77208413
29,,152,79173506,79181796
30,,208,81183525,81195349
31,,228,83189519,83198203
