MSG_ID,MSG_TYPE,DATA_LEN,ERROR,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,DATA,136,NONE,10926547,11885139,1612027730308,1612027733337
2,DATA,129,NONE,12967548,12978213,1612027732324,1612027734433
3,DATA,144,NONE,13987560,14915769,1612027733335,1612027736368
4,DATA,174,NONE,16040712,16050337,1612027735353,1612027737501
5,DATA,210,NONE,17060555,17952997,1612027736366,1612027739405
6,DATA,188,NONE,19113559,19977342,1612027738388,1612027741429
7,DATA,128,NONE,20132542,20991975,1612027739402,1612027742444
8,DATA,169,NONE,21245581,22002503,1612027740415,1612027743455
9,DATA,232,NONE,22259614,23013478,1612027741429,1612027744465
10,DATA,162,NONE,23272620,24025441,1612027742441,1612027745477
11,DATA,149,NONE,24285617,25037424,1612027743450,1612027746489
12,DATA,206,NONE,25298618,26049217,1612027744462,1612027747501
13,DATA,210,NONE,26312612,27062370,1612027745475,1612027748514
14,DATA,109,NONE,27324618,28075263,1612027746488,1612027749527
15,DATA,189,NONE,28337615,29086413,1612027747499,1612027750538
16,DATA,132,NONE,29351621,30098209,1612027748514,1612027751550
17,DATA,204,NONE,30364617,31108217,1612027749524,1612027752560
18,DATA,114,NONE,31376618,32118239,1612027750537,1612027753570
19,DATA,107,NONE,32389616,33132471,1612027751546,1612027754583
20,DATA,136,NONE,33402620,34144211,1612027752557,1612027755596
21,DATA,231,NONE,34416612,34430535,1612027753570,1612027755882
22,DATA,106,NONE,35429592,36165143,1612027754583,1612027757617
23,DATA,152,NONE,37341553,38188988,1612027756603,1612027759641
24,DATA,114,NONE,38359565,39200361,1612027757614,1612027760653
25,DATA,199,NONE,39377557,40215548,1612027758625,1612027761667
26,DATA,163,NONE,40495557,40505949,1612027759637,1612027761958
27,DATA,206,NONE,41514557,42237322,1612027760652,1612027763689
28,DATA,173,NONE,43280557,44257393,1612027762675,1612027765709
29,DATA,207,NONE,45328558,46283263,1612027764695,1612027767735
30,DATA,200,NONE,46347567,47295291,1612027765708,1612027768747
31,DATA,173,NONE,47366569,47375966,1612027766720,1612027768827
32,DATA,151,NONE,48385557,49313225,1612027767734,1612027770765
33,DATA,165,NONE,50448556,51336135,1612027769751,1612027772788
34,DATA,107,NONE,51471558,52347237,1612027770764,1612027773799
35,DATA,108,NONE,52490558,52500890,1612027771775,1612027773952
36,DATA,138,NONE,53509557,54369281,1612027772786,1612027775822
37,DATA,201,NONE,55568558,56397986,1612027774807,1612027777849
38,DATA,219,NONE,56588558,56598286,1612027775821,1612027778050
39,DATA,191,NONE,57607556,58414535,1612027776834,1612027779866
40,DATA,191,NONE,59564582,60436407,1612027778851,1612027781888
41,DATA,215,NONE,60578617,61451214,1612027779863,1612027782903
42,DATA,148,NONE,61591618,62464357,1612027780875,1612027783916
43,DATA,108,NONE,62604618,62618613,1612027781890,1612027784070
44,DATA,122,NONE,63617593,64482144,1612027782903,1612027785933
45,DATA,168,NONE,69912571,70550440,1612027784920,1612027792002
46,DATA,199,NONE,70927711,72336671,1612027785932,1612027792397
47,,136,TIMEDOUT,,,1612027787954,1612027798373
48,,174,TIMEDOUT,,,1612027788965,1612027799377
49,,189,TIMEDOUT,,,1612027789975,1612027800386
50,,188,TIMEDOUT,,,1612027790988,1612027801405
51,,223,TIMEDOUT,,,1612027793004,1612027803421
52,,199,TIMEDOUT,,,1612027795017,1612027805448
53,,201,TIMEDOUT,,,1612027797036,1612027807457
54,,146,TIMEDOUT,,,1612027798047,1612027808471
48,,174,TIMEDOUT,,,1612027799377,1612027809480
49,,189,TIMEDOUT,,,1612027801068,1612027811507
50,,188,TIMEDOUT,,,1612027802079,1612027812516
47,,136,TIMEDOUT,,,1612027803091,1612027813525
51,,223,TIMEDOUT,,,1612027805111,1612027815538
52,,199,TIMEDOUT,,,1612027806124,1612027816545
55,,194,TIMEDOUT,,,1612027807137,1612027817562
54,,146,TIMEDOUT,,,1612027808471,1612027818576
48,,174,TIMEDOUT,,,1612027809480,1612027819596
53,,201,TIMEDOUT,,,1612027811174,1612027821621
50,,188,TIMEDOUT,,,1612027812517,1612027822635
47,,136,TIMEDOUT,,,1612027814200,1612027824648
49,,189,TIMEDOUT,,,1612027815213,1612027825650
51,,223,TIMEDOUT,,,1612027816225,1612027826652
52,,199,TIMEDOUT,,,1612027817239,1612027827655
55,,194,TIMEDOUT,,,1612027818252,1612027828658
48,,174,TIMEDOUT,,,1612027819596,1612027829668
54,,146,TIMEDOUT,,,1612027821281,1612027831696
53,,201,TIMEDOUT,,,1612027822294,1612027832708
50,,188,TIMEDOUT,,,1612027823308,1612027833726
56,,141,TIMEDOUT,,,1612027824321,1612027834739
47,,136,TIMEDOUT,,,1612027825333,1612027835751
49,,189,TIMEDOUT,,,1612027826345,1612027836760
51,,223,TIMEDOUT,,,1612027827357,1612027837771
55,,194,TIMEDOUT,,,1612027828658,1612027838786
48,,174,TIMEDOUT,,,1612027830390,1612027840808
52,,199,TIMEDOUT,,,1612027831404,1612027841810
54,,146,TIMEDOUT,,,1612027832416,1612027842821
53,,201,TIMEDOUT,,,1612027833430,1612027843836
50,,188,TIMEDOUT,,,1612027834443,1612027844840
47,,136,TIMEDOUT,,,1612027835752,1612027845853
49,,189,TIMEDOUT,,,1612027837479,1612027847880
51,,223,TIMEDOUT,,,1612027838491,1612027848896
55,,194,TIMEDOUT,,,1612027840512,1612027850909
56,,141,TIMEDOUT,,,1612027841527,1612027851911
52,,199,TIMEDOUT,,,1612027842539,1612027852921
53,,201,TIMEDOUT,,,1612027843837,1612027853936
54,,146,TIMEDOUT,,,1612027845569,1612027855971
57,,177,TIMEDOUT,,,1612027847590,1612027857987
58,,126,TIMEDOUT,,,1612027849611,1612027860007
59,,113,TIMEDOUT,,,1612027850625,1612027861009
55,,194,TIMEDOUT,,,1612027851639,1612027862018
56,,141,TIMEDOUT,,,1612027852651,1612027863025
60,,134,TIMEDOUT,,,1612027853664,1612027864039
61,,166,TIMEDOUT,,,1612027854677,1612027865054
62,,182,TIMEDOUT,,,1612027855691,1612027866071
63,,194,TIMEDOUT,,,1612027857715,1612027868095
57,,177,TIMEDOUT,,,1612027859738,1612027870119
59,,113,TIMEDOUT,,,1612027861009,1612027871130
58,,126,TIMEDOUT,,,1612027862775,1612027873162
56,,141,TIMEDOUT,,,1612027863788,1612027874175
60,,134,TIMEDOUT,,,1612027864800,1612027875186
61,,166,TIMEDOUT,,,1612027865812,1612027876189
62,,182,TIMEDOUT,,,1612027866826,1612027877199
64,,168,TIMEDOUT,,,1612027867839,1612027878206
63,,194,TIMEDOUT,,,1612027869861,1612027880236
57,,177,TIMEDOUT,,,1612027870875,1612027881250
59,,113,TIMEDOUT,,,1612027871890,1612027882257
65,,230,TIMEDOUT,,,1612027872903,1612027883277
58,,126,TIMEDOUT,,,1612027873917,1612027884295
60,,134,TIMEDOUT,,,1612027875186,1612027885296
61,,166,TIMEDOUT,,,1612027876950,1612027887321
62,,182,TIMEDOUT,,,1612027877961,1612027888337
64,,168,TIMEDOUT,,,1612027878976,1612027889346
56,,141,TIMEDOUT,,,1612027879990,1612027890355
63,,194,TIMEDOUT,,,1612027881002,1612027891371
57,,177,TIMEDOUT,,,1612027882015,1612027892386
59,,113,TIMEDOUT,,,1612027883030,1612027893405
65,,230,TIMEDOUT,,,1612027884043,1612027894421
60,,134,TIMEDOUT,,,1612027885297,1612027895436
58,,126,TIMEDOUT,,,1612027887070,1612027897449
62,,182,TIMEDOUT,,,1612027888338,1612027898459
64,,168,TIMEDOUT,,,1612027890101,1612027900476
61,,166,TIMEDOUT,,,1612027891115,1612027901478
63,,194,TIMEDOUT,,,1612027892128,1612027902487
57,,177,TIMEDOUT,,,1612027893142,1612027903496
59,,113,TIMEDOUT,,,1612027894155,1612027904503
60,,134,TIMEDOUT,,,1612027895436,1612027905509
65,,230,TIMEDOUT,,,1612027897173,1612027907523
62,,182,TIMEDOUT,,,1612027898459,1612027908537
58,,126,TIMEDOUT,,,1612027900205,1612027910559
61,,166,TIMEDOUT,,,1612027901479,1612027911576
63,,194,TIMEDOUT,,,1612027902488,1612027912589
64,,168,TIMEDOUT,,,1612027904248,1612027914609
66,,207,TIMEDOUT,,,1612027905259,1612027915623
67,,221,TIMEDOUT,,,1612027906272,1612027916637
68,,184,TIMEDOUT,,,1612027907286,1612027917648
65,,230,TIMEDOUT,,,1612027909301,1612027919665
69,,213,TIMEDOUT,,,1612027910314,1612027920680
70,,158,TIMEDOUT,,,1612027911328,1612027921697
71,,180,TIMEDOUT,,,1612027912341,1612027922714
72,,193,TIMEDOUT,,,1612027913353,1612027923729
73,,135,TIMEDOUT,,,1612027914365,1612027924738
64,,168,TIMEDOUT,,,1612027915376,1612027925747
66,,207,TIMEDOUT,,,1612027916392,1612027926747
67,,221,TIMEDOUT,,,1612027917404,1612027927755
68,,184,TIMEDOUT,,,1612027918416,1612027928772
74,,150,TIMEDOUT,,,1612027919427,1612027929788
