MSG_ID,FRAG_ID,DATA_LEN,timeSent,timeRecv
1,,219,11924816,13927287
2,,187,15845309,15977273
3,,142,17850447,18023964
4,,231,19862306,20071867
5,,207,21865447,21922386
6,,178,23873271,23964471
7,,175,25880275,25888946
8,,128,27886318,28065922
9,,112,29892339,29906709
10,,233,31897287,31954895
11,,111,33903261,34002973
12,,206,35910287,36051234
13,,216,37922284,37932190
14,,123,39926267,39941484
15,,130,41933267,41989746
16,,226,43943290,44037626
17,,181,45951329,46605915
18,,136,47956349,48141057
19,,113,49961261,49978374
20,,155,51967265,52032561
21,,154,53975268,54081979
22,,158,55983267,56133180
23,,204,57991285,58193291
24,,163,59995268,60024650
25,,218,62001287,62157940
26,,218,64008337,64219961
27,,199,66016355,66171768
28,,188,68022277,68219481
29,,134,70027268,70060998
30,,186,72031276,72112117
31,,205,74036281,74156025
32,,138,76043270,76204132
33,,118,78048443,78252543
34,,220,80055293,80098873
35,,236,82060465,82661519
36,,136,84064363,84092909
37,,146,86075285,86141315
38,,196,88080298,89152793
39,,217,90084300,90235563
40,,199,92093284,92288504
41,,154,94099278,94128949
42,,141,96102281,96175480
43,,114,98110268,98222826
44,,228,100118363,100582872
45,,129,102124349,102224526
46,,113,104131275,104272012
47,,249,106142306,106318714
48,,163,108144281,108167561
49,,155,110151283,110216242
50,,200,112159294,112260277
51,,202,114166298,114306423
52,,212,116171293,116355663
53,,198,118177344,118513514
54,,217,120183370,120253235
55,,119,122190272,122299581
56,,199,124199293,124346549
57,,222,126207292,126395279
58,,118,128213277,128243337
59,,126,130217272,130285746
60,,126,132226330,132343525
61,,207,134233288,134382676
62,,209,136241388,136556066
63,,202,138164188,138283312
64,,120,140253047,140329406
65,,188,142257717,142381314
66,,117,144365603,144427643
67,,174,146358531,146474940
68,,164,148274996,148318832
69,,193,150281786,150367068
70,,215,152291615,152418819
71,,127,154299655,154751911
72,,149,156305691,156418536
73,,172,158314608,158462642
74,,164,160321612,160515375
75,,143,162326605,162358931
76,,111,164331600,164401753
77,,128,166337602,166450328
78,,208,168343620,168500369
79,,154,170351600,170542392
80,,113,172357651,173867450
81,,227,174365681,174555168
82,,187,176376595,176595342
83,,124,178382598,178439022
84,,175,180389609,181862140
85,,219,182398617,182534568
86,,178,184407603,184581930
87,,164,186415607,186631397
88,,123,188423610,188474093
89,,109,190427648,191137298
90,,128,192434683,192475752
91,,225,194440623,194522126
92,,180,196448606,196571583
93,,200,198458618,198620365
94,,176,200464612,200666759
95,,109,202471786,202509620
96,,227,204480622,204561317
97,,155,206487604,206607263
98,,169,208493664,209071081
99,,210,210508417,210606469
100,,212,212600623,212661769
101,,176,214604856,214702195
102,,177,216611909,216548101
103,,159,218620736,218595973
104,,222,220627762,220645754
105,,212,222635749,222689721
106,,187,224639743,224737225
107,,131,226645784,227609865
108,,137,228651806,228634885
109,,159,230660727,230681127
110,,126,232669728,232730136
111,,148,234678736,234779568
112,,214,236686748,236623320
113,,130,238689733,238667194
114,,149,240695731,240718540
115,,157,242704739,242768317
116,,227,244711806,245536122
117,,155,246718814,246768833
118,,144,248721742,248713112
119,,130,250725729,250760025
120,,168,252731745,252808614
121,,117,254737743,254854971
122,,209,256744754,256699395
123,,235,258754749,258743824
124,,180,260758743,260735613
125,,224,262769816,263255671
