MSG_ID,MSG_TYPE,DATA_LEN,ERROR,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,DATA,113,NONE,11295547,12134217,1612028105507,1612028108543
2,DATA,202,NONE,13342555,14161837,1612028107528,1612028110570
3,DATA,149,NONE,14363572,15174209,1612028108541,1612028111582
4,DATA,239,NONE,15377600,16189704,1612028109555,1612028112597
5,DATA,145,NONE,16394589,17200164,1612028110569,1612028113608
6,DATA,209,NONE,17408599,17423045,1612028111582,1612028113831
7,DATA,174,NONE,18422582,19224301,1612028112595,1612028115632
8,DATA,175,NONE,21022548,21245641,1612028114618,1612028117653
9,DATA,178,NONE,22352547,23262446,1612028116639,1612028119670
10,DATA,228,NONE,24402548,25286247,1612028118656,1612028121694
11,DATA,146,NONE,25424548,26300393,1612028119669,1612028122708
12,DATA,213,NONE,26444548,27313350,1612028120680,1612028123721
13,DATA,200,NONE,27463548,28325246,1612028121694,1612028124733
14,DATA,195,NONE,28482548,28492692,1612028122707,1612028124901
15,DATA,158,NONE,29502560,30347262,1612028123720,1612028126755
16,DATA,190,NONE,31569564,32369072,1612028125741,1612028128777
17,DATA,186,NONE,32583655,33382189,1612028126753,1612028129790
18,DATA,131,NONE,33597603,34396328,1612028127764,1612028130804
19,DATA,130,NONE,34610597,35410829,1612028128777,1612028131819
20,DATA,181,NONE,35624601,36422230,1612028129790,1612028132830
21,DATA,187,NONE,36638641,37435309,1612028130803,1612028133844
22,DATA,149,NONE,37717548,38450824,1612028131815,1612028134858
23,DATA,198,NONE,38770567,39461377,1612028132829,1612028135869
24,DATA,212,NONE,39784600,40472474,1612028133844,1612028136881
25,DATA,166,NONE,40797741,41484190,1612028134856,1612028137893
26,DATA,194,NONE,41810597,42500383,1612028135866,1612028138909
27,DATA,144,NONE,42823608,43511111,1612028136879,1612028139919
28,DATA,227,NONE,43838598,44526164,1612028137894,1612028140934
29,DATA,134,NONE,44851603,45542426,1612028138906,1612028141951
30,DATA,137,NONE,45864600,45887958,1612028139921,1612028142296
31,DATA,228,NONE,46878586,47558033,1612028140936,1612028143965
32,DATA,134,NONE,48671548,49583045,1612028142953,1612028145990
33,DATA,196,NONE,49691558,50598239,1612028143965,1612028147006
34,DATA,117,NONE,50713547,51609149,1612028144978,1612028148016
35,DATA,175,NONE,51733546,52624413,1612028145992,1612028149032
36,DATA,137,NONE,52751547,53636187,1612028147005,1612028150045
37,DATA,228,NONE,53770546,54649151,1612028148018,1612028151058
38,DATA,143,NONE,54789547,55665938,1612028149031,1612028152075
39,DATA,116,NONE,55807546,55816642,1612028150044,1612028152224
40,DATA,225,NONE,56826547,57683114,1612028151058,1612028154090
41,DATA,146,NONE,58911564,58926232,1612028153077,1612028155335
42,DATA,137,NONE,59923583,60708056,1612028154088,1612028157117
43,DATA,148,NONE,61779564,62734999,1612028156103,1612028159143
44,DATA,182,NONE,62798546,63748348,1612028157116,1612028160155
45,DATA,110,NONE,63816546,64760217,1612028158130,1612028161168
46,DATA,206,NONE,64846543,65773114,1612028159143,1612028162180
47,DATA,136,NONE,67519562,67534067,1612028160155,1612028163942
48,DATA,148,NONE,68532586,68796111,1612028161168,1612028165204
49,,137,TIMEDOUT,,,1612028162177,1612028172279
50,,173,TIMEDOUT,,,1612028164190,1612028174301
51,,201,TIMEDOUT,,,1612028165203,1612028175315
52,,155,TIMEDOUT,,,1612028166215,1612028176325
53,,199,TIMEDOUT,,,1612028167228,1612028177336
54,,175,TIMEDOUT,,,1612028168243,1612028178349
55,,207,TIMEDOUT,,,1612028169255,1612028179358
56,,177,TIMEDOUT,,,1612028171271,1612028181374
49,,137,TIMEDOUT,,,1612028173293,1612028183389
51,,201,TIMEDOUT,,,1612028175316,1612028185406
52,,155,TIMEDOUT,,,1612028176328,1612028186423
53,,199,TIMEDOUT,,,1612028177341,1612028187441
54,,175,TIMEDOUT,,,1612028178354,1612028188442
55,,207,TIMEDOUT,,,1612028179367,1612028189449
50,,173,TIMEDOUT,,,1612028180379,1612028190459
56,,177,TIMEDOUT,,,1612028181393,1612028191469
57,,161,TIMEDOUT,,,1612028182405,1612028192482
49,,137,TIMEDOUT,,,1612028184423,1612028194510
51,,201,TIMEDOUT,,,1612028185436,1612028195518
52,,155,TIMEDOUT,,,1612028186449,1612028196523
53,,199,TIMEDOUT,,,1612028187461,1612028197533
54,,175,TIMEDOUT,,,1612028188476,1612028198541
55,,207,TIMEDOUT,,,1612028189489,1612028199555
50,,173,TIMEDOUT,,,1612028190502,1612028200569
56,,177,TIMEDOUT,,,1612028191512,1612028201574
57,,161,TIMEDOUT,,,1612028193529,1612028203601
49,,137,TIMEDOUT,,,1612028194543,1612028204610
51,,201,TIMEDOUT,,,1612028195555,1612028205624
52,,155,TIMEDOUT,,,1612028196567,1612028206637
53,,199,TIMEDOUT,,,1612028197582,1612028207648
54,,175,TIMEDOUT,,,1612028198599,1612028208655
50,,173,TIMEDOUT,,,1612028200570,1612028210674
56,,177,TIMEDOUT,,,1612028201620,1612028211681
55,,207,TIMEDOUT,,,1612028202631,1612028212700
57,,161,TIMEDOUT,,,1612028203643,1612028213709
49,,137,TIMEDOUT,,,1612028204653,1612028214722
51,,201,TIMEDOUT,,,1612028205664,1612028215734
52,,155,TIMEDOUT,,,1612028206677,1612028216742
54,,175,TIMEDOUT,,,1612028208655,1612028218775
53,,199,TIMEDOUT,,,1612028209713,1612028219790
50,,173,TIMEDOUT,,,1612028210726,1612028220802
55,,207,TIMEDOUT,,,1612028212701,1612028222810
57,,161,TIMEDOUT,,,1612028213755,1612028223825
56,,177,TIMEDOUT,,,1612028215771,1612028225853
58,,190,TIMEDOUT,,,1612028216785,1612028226859
59,,151,TIMEDOUT,,,1612028217796,1612028227863
60,,173,TIMEDOUT,,,1612028218807,1612028228876
61,,176,TIMEDOUT,,,1612028220827,1612028230899
62,,169,TIMEDOUT,,,1612028221840,1612028231911
63,,192,TIMEDOUT,,,1612028222850,1612028232925
57,,161,TIMEDOUT,,,1612028223862,1612028233943
64,,228,TIMEDOUT,,,1612028225884,1612028235953
58,,190,TIMEDOUT,,,1612028226897,1612028236962
59,,151,TIMEDOUT,,,1612028227909,1612028237975
60,,173,TIMEDOUT,,,1612028229928,1612028239997
61,,176,TIMEDOUT,,,1612028230940,1612028241005
62,,169,TIMEDOUT,,,1612028231953,1612028242018
63,,192,TIMEDOUT,,,1612028233970,1612028244041
65,,222,TIMEDOUT,,,1612028234982,1612028245047
64,,228,TIMEDOUT,,,1612028235995,1612028246059
59,,151,TIMEDOUT,,,1612028237975,1612028248075
58,,190,TIMEDOUT,,,1612028239028,1612028249078
60,,173,TIMEDOUT,,,1612028240039,1612028250088
62,,169,TIMEDOUT,,,1612028242019,1612028252125
61,,176,TIMEDOUT,,,1612028243064,1612028253143
63,,192,TIMEDOUT,,,1612028244080,1612028254153
65,,222,TIMEDOUT,,,1612028245093,1612028255160
64,,228,TIMEDOUT,,,1612028246106,1612028256175
66,,225,TIMEDOUT,,,1612028247120,1612028257186
59,,151,TIMEDOUT,,,1612028248134,1612028258195
58,,190,TIMEDOUT,,,1612028249146,1612028259212
60,,173,TIMEDOUT,,,1612028250157,1612028260217
67,,163,TIMEDOUT,,,1612028251169,1612028261227
61,,176,TIMEDOUT,,,1612028253144,1612028263253
63,,192,TIMEDOUT,,,1612028254153,1612028264257
65,,222,TIMEDOUT,,,1612028255210,1612028265271
66,,225,TIMEDOUT,,,1612028257186,1612028267289
59,,151,TIMEDOUT,,,1612028258244,1612028268293
