MSG_ID,DATA_LEN,timeSent,timeRecv
1,136,9865394,9916077
2,129,11880218,11959604
3,144,12891215,12978238
4,174,14910225,15032168
5,210,15923243,16051697
6,188,17946214,18104513
7,128,18959225,19124106
8,169,19972243,20237691
9,232,20986306,21250838
10,162,21997256,22264642
11,149,23008241,23277685
12,206,24020259,24290683
13,210,25032252,25303699
14,109,26044243,26317684
15,189,27057251,27329683
16,132,28070241,28343211
17,204,29081251,29356699
18,114,30093243,30369664
19,107,31103242,31381657
20,136,32113242,32394692
21,231,33127257,33407770
22,106,34139241,34421645
23,152,36160203,36333119
24,114,37170223,37351885
25,199,38182247,38369782
26,163,39195239,39486692
27,206,40210257,40505900
28,173,42232207,42272075
29,207,44252254,44319576
30,200,45265229,45339347
31,173,46278245,46358158
32,151,47290236,47376507
33,165,49308216,49439653
34,107,50320214,50464008
35,108,51331239,51481671
36,138,52342235,52501609
37,201,54364223,54560152
38,219,55379235,55579371
39,191,56391252,56599208
40,191,58409214,58556316
41,215,59420282,59569590
42,148,60431257,60583664
43,108,61446236,61596663
44,122,62459243,62609830
45,168,64477197,68898961
46,199,65489236,68906598
47,136,67511221,69917981
48,174,68522228,70937008
49,189,69532361,70945369
50,188,70545250,71955600
51,223,73952934,72975770
52,199,74586212,74632530
53,201,76699662,76886193
54,146,77562849,77908527
48,174,79073746,78948711
49,189,80628762,80674045
50,188,81705863,81693732
47,136,82715946,82713067
51,223,84218088,84770448
52,199,85641592,85790577
55,194,86653683,86811793
54,146,87629848,88047569
48,174,89397760,89066667
53,201,90742304,90914215
50,188,92147486,92143118
47,136,94176784,94192267
49,189,94905597,95204620
51,223,95917762,96222870
52,199,96931652,97236680
55,194,98240152,98249728
48,174,99583222,99269948
54,146,100604619,100951099
53,201,102031126,101970950
50,188,103045212,102991406
56,141,103490449,104011203
47,136,104502435,105035934
49,189,105526193,106055035
51,223,106538192,107077677
55,194,108793887,108329718
48,174,110001728,110166622
52,199,111059154,111180590
54,146,112069287,112197772
53,201,113085164,113211809
50,188,114214530,114225741
47,136,115416597,115323677
49,189,117040663,117233713
51,223,118100898,118253569
55,194,120170067,120102847
56,141,121082871,121122169
52,199,122095983,122135947
53,201,122925518,123582494
54,146,125421013,125227032
57,177,127378357,127269386
58,126,129166232,129318728
59,113,130201964,130337557
55,194,131216077,131457816
56,141,131856024,132471578
60,134,132867979,133488022
61,166,133880920,134501667
62,182,135504345,135515846
63,194,137402263,137305942
57,177,139321627,139354129
59,113,140497841,140581897
58,126,142662674,142425957
56,141,143385170,143445341
60,134,144396253,144465340
61,166,144962898,145486145
62,182,145976885,146508606
64,168,147002362,147528981
63,194,149481537,149800797
57,177,150393114,150814705
59,113,151407251,151829927
65,230,152335888,152842780
58,126,153348834,153861918
60,134,154616865,154880452
61,166,156380750,156520403
62,182,157391761,157625175
64,168,158406769,158639071
56,141,159420772,159651830
63,194,160432790,160664718
57,177,161446785,161679196
59,113,162459776,162698250
65,230,163474787,163716928
60,134,164727825,164956715
58,126,166500767,166800965
62,182,167768790,167927360
64,168,169532859,169871617
61,166,170545787,170885708
63,194,171559770,171898715
57,177,172572778,172911744
59,113,173584773,173924672
60,134,174866726,175006187
65,230,176604790,176834956
62,182,177890778,178063589
58,126,179635771,179906555
61,166,180909775,181135486
63,194,181920764,182149611
64,168,183678749,184002375
66,207,184690772,185021015
67,221,185703840,186035663
68,184,186716771,187049882
65,230,188732827,188918681
69,213,189745758,189938251
70,158,190758767,190956910
71,180,191771771,191976307
72,193,192784782,192993621
73,135,193795764,194013410
64,168,194807773,195031608
66,207,195823778,196049645
67,221,196835787,197068124
68,184,197846772,198087521
74,150,198857770,199105826
65,230,199872780,200125996
69,213,200884807,202232908
70,158,201898879,202240295
72,193,203160885,203298942
73,135,204931811,205203734
66,207,206178807,206430470
67,221,207955788,208275526
68,184,208966758,209297066
74,150,209979767,210315958
71,180,210993777,211329687
69,213,212006782,212343724
70,158,213018772,213357694
72,193,214033779,214370850
75,195,215047916,215390773
73,135,215887961,216405016
66,207,217319402,217417762
67,221,218546979,218456522
68,184,220237166,220358499
71,180,221497217,221533170
69,213,223677436,223429868
70,158,224688357,224449371
72,193,224854695,225470246
75,195,225867785,226490260
73,135,226985668,227510353
66,207,228001658,228528981
67,221,229027280,229542694
68,184,230656626,230577757
71,180,232381963,232441140
74,150,233397900,233464476
70,158,234603918,234614085
72,193,236427931,236536902
75,195,237440937,237551655
73,135,238452917,238570303
69,213,240470916,240479199
76,192,241482995,241497963
71,180,242686916,242693330
74,150,243697921,243710787
77,192,245527920,245549932
78,146,246539930,246572786
75,195,247743921,247809252
79,204,249568947,249655450
80,241,250581938,252516802
81,132,251594926,252524397
76,192,252608930,253533988
74,150,253795928,254547688
82,187,255629901,255635925
77,192,256641930,256656451
78,146,257654996,257809216
75,195,258667941,258924508
83,141,259680048,259938574
79,204,260692972,260950706
80,241,261706957,261964294
76,192,262903944,262978780
82,187,265922895,266031331
78,146,267948921,268078635
83,141,269961933,270127022
79,204,270972932,271145784
76,192,272997916,273198347
82,187,276037951,276579972
78,146,278062991,278116809
83,141,280081915,280162951
76,192,283119890,283239385
82,187,286158890,286306737
78,146,288175928,288354657
83,141,290196936,290397917
82,187,296348572,296342606
83,141,300388349,300433213
