MSG_ID,FRAG_ID,MSG_TYPE,DATA_LEN,ERROR,retires,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,,DATA,124,NONE,1,22964317,22976206,1612770012253,1612770013285
2,,DATA,139,NONE,1,24972654,24986016,1612770014259,1612770015294
3,,DATA,171,NONE,1,26994473,27009291,1612770016267,1612770017319
4,,DATA,117,NONE,1,28991187,29001883,1612770018274,1612770019310
5,,DATA,170,NONE,1,30993529,31005059,1612770020284,1612770021313
6,,DATA,202,NONE,1,33004094,33017729,1612770022293,1612770023326
7,,DATA,202,NONE,1,35014210,35042546,1612770024301,1612770025351
8,,DATA,145,NONE,1,37211426,37224710,1612770026308,1612770027533
9,,DATA,120,NONE,1,40368647,41030926,1612770028317,1612770031339
10,,DATA,159,NONE,1,41041094,41053595,1612770030326,1612770031361
11,,DATA,138,NONE,1,43043991,43053595,1612770032334,1612770033362
12,,DATA,219,NONE,1,45054534,45066575,1612770034340,1612770035375
13,,DATA,128,NONE,1,47052983,47064027,1612770036344,1612770037372
14,,DATA,125,NONE,1,49061187,49071913,1612770038351,1612770039380
15,,DATA,210,NONE,1,51081285,51092667,1612770040360,1612770041401
16,,DATA,169,NONE,1,53082007,53093367,1612770042368,1612770043401
17,,DATA,120,NONE,1,55182899,55195424,1612770044377,1612770045503
18,,DATA,181,NONE,1,57093830,57105657,1612770046383,1612770047413
19,,DATA,120,NONE,1,59103622,59114159,1612770048392,1612770049422
20,,DATA,111,NONE,1,61111386,61122690,1612770050401,1612770051431
21,,DATA,115,NONE,1,63278430,63289226,1612770052410,1612770053597
22,,DATA,182,NONE,1,65204485,65215952,1612770054419,1612770055524
23,,DATA,213,NONE,1,67137041,67149534,1612770056425,1612770057457
24,,DATA,196,NONE,1,69151447,69163957,1612770058433,1612770059471
25,,DATA,213,NONE,1,71154549,71169321,1612770060441,1612770061477
26,,DATA,154,NONE,1,73159913,73179179,1612770062450,1612770063486
27,,DATA,232,NONE,1,75191836,75204691,1612770064459,1612770065512
28,,DATA,136,NONE,1,77209585,77221586,1612770066469,1612770067529
29,,DATA,152,NONE,1,79182755,79199916,1612770068473,1612770069507
30,,DATA,208,NONE,1,81196418,81209177,1612770070483,1612770071516
31,,DATA,228,NONE,1,83199159,83212489,1612770072488,1612770073519
34,,,139,ESP32,1,,,1612770078510,1612770079518
35,,,106,ESP32,1,,,1612770079518,1612770080526
34,,,139,ESP32,2,,,1612770080526,1612770081534
36,,,118,ESP32,1,,,1612770081534,1612770082541
35,,,106,ESP32,2,,,1612770082542,1612770083548
34,,,139,ESP32,3,,,1612770083549,1612770084557
32,,,173,TIMEDOUT,1,,,1612770074494,1612770084907
37,,,174,ESP32,1,,,1612770084907,1612770085915
36,,,118,ESP32,2,,,1612770085916,1612770086923
35,,,106,ESP32,3,,,1612770086923,1612770087931
38,,,154,ESP32,1,,,1612770088552,1612770089560
32,,,173,ESP32,2,,,1612770089560,1612770090569
37,,,174,ESP32,2,,,1612770090569,1612770091578
39,,,142,ESP32,1,,,1612770091578,1612770092585
36,,,118,ESP32,3,,,1612770092586,1612770093593
40,,,111,ESP32,1,,,1612770094574,1612770095582
38,,,154,ESP32,2,,,1612770095583,1612770096591
41,,,179,ESP32,1,,,1612770096591,1612770097599
32,,,173,ESP32,3,,,1612770097600,1612770098608
37,,,174,ESP32,3,,,1612770100596,1612770101605
42,,,221,ESP32,1,,,1612770102602,1612770103611
39,,,142,ESP32,2,,,1612770103611,1612770104618
43,,,207,ESP32,1,,,1612770104619,1612770105628
40,,,111,ESP32,2,,,1612770105628,1612770106634
44,,,171,ESP32,1,,,1612770106635,1612770107642
38,,,154,ESP32,3,,,1612770107643,1612770108650
41,,,179,ESP32,2,,,1612770110632,1612770111642
45,,,117,ESP32,1,,,1612770111642,1612770112650
46,,,236,ESP32,1,,,1612770112651,1612770113659
47,,,172,ESP32,1,,,1612770113660,1612770114669
42,,,221,ESP32,2,,,1612770114669,1612770115678
48,,,133,ESP32,1,,,1612770115678,1612770116684
