MSG_ID,DATA_LEN,timeSent,timeRecv
1,161,9396251,9538284
2,117,10062850,10561033
3,200,11075830,11582666
4,154,12086772,12602068
5,246,12590699,13623120
6,167,15554273,15678688
7,183,16467785,16700653
8,227,18609771,18546224
9,180,19522429,19677045
10,128,20533507,20798105
11,183,21195075,21810553
12,200,22208061,22827329
13,130,23220973,23841803
14,127,24840718,24854589
15,226,25856820,25867974
16,202,26868745,26881922
17,175,28668034,28683836
18,212,29675366,29705603
19,122,30687428,30725137
20,152,31223112,31743507
21,190,32235107,32767449
22,141,35244276,34827776
23,229,35663541,35847183
24,185,36675627,36868154
25,162,37365185,37888074
26,172,39834056,40052232
27,219,40746380,41065548
28,159,42756342,42817014
29,205,44093947,43836230
30,153,45106013,44856892
31,125,46116966,45875966
32,222,46860652,47937433
33,126,48801065,48962408
34,129,49813122,49981396
35,224,50479758,51000508
36,158,51493724,52020383
37,187,52518497,53040745
38,214,53531475,54060048
39,143,54555679,55081166
40,211,55568676,56102580
41,214,56582600,57121471
42,236,57106437,58170195
43,124,60081901,60022871
44,131,62007505,62068766
45,137,62954186,63092054
46,203,63965297,68422493
47,207,64977240,68429906
48,136,65116671,69441928
49,213,66129737,70457110
50,205,68142692,70466071
51,115,69151689,71475524
52,173,70162696,71483092
53,148,72979853,72493529
54,146,74311707,74154299
55,131,76228169,76305737
48,136,77082942,77333120
49,213,79249845,79377447
51,115,80426802,80438128
52,173,82190815,82243114
53,148,83201649,83262307
54,146,84453649,84496740
50,205,86221676,86339255
48,136,87481675,87568530
55,131,89246655,89411088
49,213,90258664,90432528
51,115,91272648,91451915
56,192,92285673,92470722
53,148,93543612,93586425
54,146,94555659,94604732
52,173,96330646,96375467
50,205,97344666,97394498
48,136,98357667,98413947
57,158,99370665,99434201
55,131,100382663,100452672
49,213,101396674,101469813
51,115,102409665,102488724
56,192,103424681,103507611
53,148,104437672,104526747
54,146,105449667,105545850
58,165,106463673,106565149
52,173,107475672,107583535
50,205,108490686,108603924
48,136,109502662,109623089
55,131,110739618,110759936
49,213,112533693,112660649
56,192,113775695,113889383
53,148,115561661,115731027
54,146,116575650,116751132
58,165,117587662,117770986
52,173,118602669,118790361
50,205,120618655,120647643
55,131,122633650,122693723
51,115,123643644,123712555
56,192,124658681,124731207
57,158,125672657,125759876
59,113,126684663,132427517
60,115,127696656,132433736
58,165,128709659,133443847
61,211,130730738,133452553
62,152,131742676,134462628
63,200,132756658,134470976
64,206,133768661,135480588
56,192,135021672,135489364
57,158,136790634,136928848
59,113,137800641,137954147
58,165,139063787,139182212
60,115,140829657,141019291
61,211,141841743,142050322
62,152,142853761,143064668
63,200,143549689,144077645
64,206,144408578,145090673
65,198,146999935,147170732
57,158,147911204,148184576
59,113,148923364,149199810
58,165,149704280,150212677
66,167,150717226,151228841
60,115,151729306,152241594
61,211,152740247,153254627
62,152,153751226,154268597
63,200,154762245,155281656
64,206,155776238,156295642
65,198,157049244,157314764
57,158,158805193,159253845
59,113,159816203,160266773
67,125,160828213,161279573
66,167,161841233,162291620
61,211,163129206,163372873
62,152,164874284,165502143
63,200,165888215,166514553
65,198,167164301,167532632
64,206,168917209,169186973
59,113,170192216,170437528
67,125,171941216,172259767
66,167,172952208,173279232
61,211,174966212,175330769
63,200,176252237,176560979
65,198,178001237,178403240
62,152,179014203,179417746
64,206,180025236,180435628
60,115,181035212,181455682
68,116,182049231,182468482
67,125,183060209,183481748
66,167,184074280,184494615
69,163,185086247,185508593
70,217,187106203,187415630
65,198,188359235,188648269
71,136,190133230,190488341
72,201,191147213,191509528
60,115,192159218,192528080
68,116,193171218,193546799
67,125,194184228,194565853
66,167,195196209,195584066
69,163,197213196,197657024
70,217,198226214,198670843
73,177,199239248,199686929
71,136,200521174,200769875
72,201,202266255,202675487
68,116,203550234,203902612
67,125,204561202,204920638
74,123,206302189,206568478
69,163,207590220,207998930
70,217,209325232,209638447
73,177,210336208,210661551
72,201,213250714,212916466
74,123,216999511,217010505
70,217,220045419,220006376
72,201,223082316,223155848
74,123,227124303,227047290
70,217,230169317,230120653
72,201,233195308,233190856
74,123,237234360,237288326
74,123,247368309,247425523
