MSG_ID,FRAG_ID,DATA_LEN,timeSent,timeRecv
1,,182,7366685,7377131
2,,190,11373482,11383190
3,,223,15380656,15394065
4,,112,19384469,19399321
5,,158,23396471,23406552
6,,239,27406491,27416984
7,,158,31412471,31426346
8,,184,35419478,35428818
9,,138,39427475,39504075
10,,174,43435477,43451641
11,,191,47445482,47457314
12,,227,51454488,51466536
13,,237,55464496,55705140
14,,191,59470478,59482259
15,,112,63478522,63828756
16,,140,67487504,67495702
17,,139,71496316,71505603
18,,182,75506495,75517442
19,,209,79514330,79524552
20,,219,83519326,83526610
21,,135,87527320,87538286
22,,209,91537328,91771312
23,,235,95543337,95551873
24,,134,99549311,99556224
25,,140,103557320,103565339
26,,179,107565318,107630917
27,,128,111573315,111582081
28,,131,115581309,115591122
29,,162,119586320,119595905
30,,219,123595325,123602617
31,,121,127597475,127612476
32,,224,131605324,131619609
33,,212,135613494,135624563
34,,107,139617292,139631702
35,,120,143625304,143644212
36,,114,147634298,147647179
37,,159,151640307,151650913
38,,121,155647300,155855137
39,,179,159655374,159670047
40,,170,163660303,163672175
41,,196,167668311,167679279
42,,187,171674307,171684966
43,,118,175676296,175694757
44,,160,179681301,179937604
45,,208,183691312,183704086
46,,142,187701569,187709973
47,,161,191706476,191718173
48,,125,195715573,195780334
49,,118,199719392,199727674
50,,183,203729402,203739427
51,,202,207736406,207747506
52,,120,211741395,211749718
53,,172,215751396,215759272
54,,161,219760396,219767532
55,,178,223765396,223775291
56,,188,227774402,227781896
57,,166,231778393,231994765
58,,131,235787394,235798322
59,,135,239793394,239807588
60,,113,243801394,243809073
61,,110,247809236,247818766
62,,182,251814157,251824694
63,,118,255820239,255850152
64,,127,259828060,259844783
65,,158,263839063,263848432
66,,224,267848068,267872053
67,,199,271856077,271867413
68,,127,275865060,275875667
69,,170,279871070,279880731
70,,147,283878065,284071335
71,,200,287889078,287900137
72,,223,291900079,291909849
73,,175,295910070,295919178
74,,110,299920050,299928941
75,,143,303931067,303941403
