MSG_ID,DATA_LEN,timeSent,timeRecv
1,113,10107356,10284652
2,202,12129200,12333417
3,149,13141183,13355010
4,239,14156220,14368557
5,145,15169200,15386258
6,209,16182216,16399638
7,174,17195181,17413590
8,175,19219239,20013762
9,178,21240271,21345090
10,228,23257230,23393033
11,146,24269184,24416330
12,213,25281218,25434706
13,200,26295222,26454814
14,195,27308222,27474185
15,158,28320216,28494268
16,190,30342191,30561040
17,186,31353201,31574633
18,131,32364207,32589573
19,130,33377207,33602595
20,181,34391225,34615596
21,187,35404212,35629633
22,149,36417213,36708374
23,198,37430205,37762621
24,212,38445278,38775552
25,166,39456217,39789593
26,194,40467217,40802770
27,144,41479208,41815590
28,227,42495227,42828692
29,134,43506200,43843763
30,137,44521214,44856586
31,228,45537224,45869658
32,134,47553169,47663851
33,196,48566203,48682145
34,117,49578204,49705378
35,175,50593209,50725492
36,137,51604212,51743597
37,228,52619224,52761656
38,143,53631212,53780470
39,116,54644209,54800381
40,225,55659233,55817795
41,146,57678175,57904310
42,137,58689236,58916495
43,148,60703171,60772071
44,182,61717199,61790200
45,110,62730195,62808988
46,206,63743218,63837489
47,136,64755215,66507911
48,148,65768202,66514628
49,137,66778189,67524930
50,173,68791178,68804474
51,201,69804200,69825804
52,155,70815248,70840827
53,199,71830308,71863778
54,175,71863155,72878522
55,207,72876153,73894543
56,177,76388676,76237484
49,137,77923456,78077476
51,201,79944014,80127039
52,155,80956016,81140496
53,199,81969027,82153587
54,175,82982026,83167560
55,207,83995037,84180607
50,173,85006024,85194560
56,177,86020033,86207542
57,161,87033026,87221773
49,137,89049984,89138794
51,201,90064019,90157243
52,155,91076025,91175732
53,199,92089036,92194100
54,175,93104035,93234880
55,207,94117026,94354989
50,173,95130108,95369502
56,177,96141044,96382554
57,161,98156006,98150437
49,137,99170008,99169274
51,201,100183042,100192518
52,155,101194029,101211962
53,199,102211048,102230592
54,175,103226031,103250004
50,173,105197002,105317505
56,177,106248019,106336438
55,207,107259038,107357631
57,161,108270031,108377371
49,137,109281036,109395703
51,201,110292041,110417640
52,155,111305037,111437968
54,175,113282993,113507782
53,199,114341086,114521522
50,173,115354046,115535568
55,207,117328996,117406802
57,161,118383116,118426982
56,177,120399007,120474320
58,190,121412021,121495013
59,151,122424021,122516540
60,173,123435026,123535989
61,176,125455008,125593029
62,169,126468013,126612151
63,192,127478033,127631682
57,161,128490028,128649872
64,228,130512060,130510317
58,190,131525008,131541441
59,151,132536086,132560786
60,173,134555996,134606122
61,176,135568019,135625422
62,169,136581039,136648218
63,192,138598141,138703270
65,222,139611100,139734850
64,228,140623142,140752870
59,151,142514218,142594091
58,190,143701495,143643205
60,173,144713565,144666281
62,169,147129921,146689283
61,176,147599034,147710589
63,192,148615182,148834503
65,222,149231092,149958092
64,228,150244137,150975177
66,225,151257035,151989604
59,151,152990725,153002616
58,190,154002842,154016826
60,173,155013739,155030606
67,163,155026441,156044596
61,176,157876199,157759471
63,192,158808443,158774221
65,222,159865433,159825731
66,225,161275855,161948346
59,151,162776114,162971504
60,173,164880866,165020664
67,163,165850860,166041544
58,190,166863012,167060024
61,176,167557865,168165303
65,222,170005071,169937798
63,192,170973746,170963070
66,225,171984840,171987434
64,228,173486511,174032973
67,163,175866755,176081142
62,169,176987678,177101283
68,154,177999779,178121408
69,185,178621637,179141941
65,222,181093805,181201309
66,225,182004818,182215575
64,228,184079762,184069329
70,146,185077543,185168784
62,169,187068769,187040226
68,154,188073738,188108131
69,185,190121229,190315612
67,163,191029842,191340842
66,225,192040940,192354918
71,163,193051878,193368616
72,131,193364967,194381595
70,146,194377045,195397830
73,203,195900517,196410634
74,118,196913476,197425812
68,154,197928472,198440938
75,219,198942472,199454713
69,185,199955380,200468612
67,163,201962332,202400899
71,163,202975356,203419785
72,131,203984364,204437784
70,146,204997416,205456546
73,203,207016345,207520201
74,118,208028346,208534461
68,154,209041363,209546828
75,219,210055372,210559668
69,185,212071358,212435950
71,163,213432372,213868754
72,131,215093366,215395294
70,146,217106360,217556561
74,118,218456365,218783982
68,154,220128365,220496273
75,219,222142359,222575830
71,163,223481441,223906736
69,185,225166342,225543411
72,131,227178370,227591550
74,118,228510366,228820613
70,146,230203363,230664559
73,203,232218377,232712059
71,163,233551373,233941536
75,219,235235381,235579369
76,183,237249379,237631461
74,118,238566366,239574736
72,131,240273416,240593300
77,222,242286354,242645864
73,203,244304374,244694689
75,219,245604378,245925773
78,122,247319361,247765452
76,183,248330356,248785033
79,133,250344334,250838546
80,194,252359369,252680523
77,222,254373381,254729427
73,203,256387433,256733708
78,122,257971462,258008628
76,183,259998951,259851336
79,133,261054457,261078204
81,204,263148293,262922055
80,194,264734042,264764999
77,222,266746922,266814248
78,122,268004925,268035726
82,195,269768937,269894712
79,133,271024923,271119874
76,183,272789932,272957297
81,204,274807011,275518671
80,194,276821010,276850191
78,122,278059935,278078685
77,222,279843945,279921968
79,133,281070929,281153325
82,195,282865936,282883321
76,183,284878938,285041254
81,204,286894938,287088979
78,122,288118933,288132922
80,194,289915936,289959524
79,133,291128931,291190163
77,222,292939948,293439700
82,195,294956014,294974898
83,213,295967929,295993925
81,204,297167911,297229281
84,148,298991920,299071140
80,194,300177940,300304268
85,126,302013920,302132019
86,129,304030927,304190931
82,195,305198922,305210494
83,213,307051916,307263300
81,204,309065936,309112257
84,148,311081936,311361811
87,197,312092981,312374488
86,129,314245900,314331055
83,213,317262906,317402996
84,148,321281008,321497648
86,129,324297900,324370199
83,213,327315180,327434908
84,148,331329027,331535672
86,129,334346976,334402429
