MSG_ID,FRAG_ID,MSG_TYPE,DATA_LEN,ERROR,retires,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,,DATA,219,NONE,1,13928372,12758822,1612769064736,1612769065856
2,,DATA,187,NONE,1,15978223,15640997,1612769066746,1612769067904
3,,DATA,142,NONE,1,18024926,18043023,1612769068753,1612769069953
4,,DATA,231,NONE,1,20072825,20084356,1612769070764,1612769071994
5,,DATA,207,NONE,1,21923374,21934738,1612769072767,1612769073845
6,,DATA,178,NONE,1,23965427,23976341,1612769074775,1612769075886
7,,DATA,175,NONE,1,25889928,25901608,1612769076782,1612769077812
8,,DATA,128,NONE,1,28066894,28078309,1612769078789,1612769079988
9,,DATA,112,NONE,1,29908024,29917774,1612769080795,1612769081828
10,,DATA,233,NONE,1,31955879,31967521,1612769082799,1612769083877
11,,DATA,111,NONE,1,34003951,34016018,1612769084806,1612769085926
12,,DATA,206,NONE,1,36052212,36064180,1612769086812,1612769087974
13,,DATA,216,NONE,1,37933170,37943795,1612769088823,1612769089854
14,,DATA,123,NONE,1,39942460,39956204,1612769090829,1612769091866
15,,DATA,130,NONE,1,41990731,42001860,1612769092835,1612769093911
16,,DATA,226,NONE,1,44038603,44050395,1612769094844,1612769095960
17,,DATA,181,NONE,1,46606893,46617414,1612769096853,1612769098528
18,,DATA,136,NONE,1,48142033,48155730,1612769098859,1612769100065
19,,DATA,113,NONE,1,49979406,49990502,1612769100864,1612769101900
20,,DATA,155,NONE,1,52033528,52044486,1612769102869,1612769103954
21,,DATA,154,NONE,1,54082958,54092667,1612769104877,1612769106002
22,,DATA,158,NONE,1,56134170,56145118,1612769106885,1612769108054
23,,DATA,204,NONE,1,58194243,58206659,1612769108892,1612769110116
24,,DATA,163,NONE,1,60025636,60036667,1612769110897,1612769111946
25,,DATA,218,NONE,1,62158923,62173473,1612769112902,1612769114083
26,,DATA,218,NONE,1,64220949,64528788,1612769114909,1612769116438
