MSG_ID,MSG_TYPE,DATA_LEN,ERROR,timeSentACK,timeRecvACK,timeFrontendSend,timeFrontendRecv
1,DATA,161,NONE,10549547,11080971,1612027383763,1612027386802
2,DATA,117,NONE,11569686,11581254,1612027384776,1612027387816
3,DATA,200,NONE,12591546,12595988,1612027385788,1612027388830
4,DATA,154,NONE,13610548,12762068,1612027386799,1612027388997
5,DATA,246,NONE,14632684,15461891,1612027387816,1612027390856
6,DATA,167,NONE,16687556,16679405,1612027389838,1612027392073
7,DATA,183,NONE,17709693,18517711,1612027390852,1612027393891
8,DATA,227,NONE,19554598,20538555,1612027392871,1612027395912
9,DATA,180,NONE,20686682,21200814,1612027393884,1612027396925
10,DATA,128,NONE,21805570,22213468,1612027394898,1612027397938
11,DATA,183,NONE,22818603,23836314,1612027395911,1612027398953
12,DATA,200,NONE,23836592,24845686,1612027396924,1612027399962
13,DATA,130,NONE,24849601,25862213,1612027397938,1612027400979
14,DATA,127,NONE,25862692,25875953,1612027398949,1612027401993
15,DATA,226,NONE,26876586,26150381,1612027399964,1612027402268
16,DATA,202,NONE,27891691,28670157,1612027400975,1612027404017
17,DATA,175,NONE,29693573,30692382,1612027403001,1612027406039
18,DATA,212,NONE,30714691,31228398,1612027404014,1612027407052
19,DATA,122,NONE,31732550,32240370,1612027405027,1612027408064
20,DATA,152,NONE,32752552,32314145,1612027406038,1612027408138
21,DATA,190,NONE,33776576,34655283,1612027407050,1612027410088
22,DATA,141,NONE,35835550,36680735,1612027409073,1612027412114
23,DATA,229,NONE,36857681,37372093,1612027410087,1612027413129
24,DATA,185,NONE,37876552,37506694,1612027411100,1612027413262
25,DATA,162,NONE,38896692,39741916,1612027412113,1612027415152
26,DATA,172,NONE,41060568,41042989,1612027414134,1612027416453
27,DATA,219,NONE,42075590,43087387,1612027415146,1612027418174
28,DATA,159,NONE,43824552,45111140,1612027417158,1612027420197
29,DATA,205,NONE,44845686,44856987,1612027418171,1612027421211
30,DATA,153,NONE,45864552,44895318,1612027419185,1612027421249
31,DATA,125,NONE,46883573,47796795,1612027420194,1612027423222
32,DATA,222,NONE,48946552,49818128,1612027422206,1612027425244
33,DATA,126,NONE,49970683,50485113,1612027423219,1612027426257
34,DATA,129,NONE,50988552,51498843,1612027424230,1612027427271
35,DATA,224,NONE,52009686,52523749,1612027425242,1612027428285
36,DATA,158,NONE,53029563,53536699,1612027426257,1612027429297
37,DATA,187,NONE,54049684,54560859,1612027427271,1612027430310
38,DATA,214,NONE,55068551,55575577,1612027428284,1612027431325
39,DATA,143,NONE,56089691,56101267,1612027429296,1612027432340
40,DATA,211,NONE,57111552,57111671,1612027430308,1612027433350
41,DATA,214,NONE,58130550,57305666,1612027431321,1612027433544
42,DATA,236,NONE,59179693,59991510,1612027432334,1612027435369
43,DATA,124,NONE,61030564,61949824,1612027434353,1612027437392
44,DATA,131,NONE,63076552,63970495,1612027436377,1612027439413
45,DATA,137,NONE,64100680,64112593,1612027437387,1612027440429
46,DATA,203,NONE,69436697,69156628,1612027438399,1612027445471
47,DATA,207,NONE,70451700,71976057,1612027439410,1612027446485
48,,136,TIMEDOUT,,,1612027440422,1612027450755
49,,213,TIMEDOUT,,,1612027441436,1612027451765
50,,205,TIMEDOUT,,,1612027443449,1612027453785
51,,115,TIMEDOUT,,,1612027444459,1612027454790
52,,173,TIMEDOUT,,,1612027445469,1612027455798
53,,148,TIMEDOUT,,,1612027446478,1612027456809
54,,146,TIMEDOUT,,,1612027448493,1612027458817
55,,131,TIMEDOUT,,,1612027450508,1612027460841
48,,136,TIMEDOUT,,,1612027451519,1612027461845
49,,213,TIMEDOUT,,,1612027453534,1612027463862
51,,115,TIMEDOUT,,,1612027454791,1612027464868
52,,173,TIMEDOUT,,,1612027456554,1612027466895
53,,148,TIMEDOUT,,,1612027457564,1612027467907
54,,146,TIMEDOUT,,,1612027458817,1612027468918
50,,205,TIMEDOUT,,,1612027460585,1612027470934
48,,136,TIMEDOUT,,,1612027461846,1612027471948
55,,131,TIMEDOUT,,,1612027463611,1612027473975
49,,213,TIMEDOUT,,,1612027464622,1612027474988
51,,115,TIMEDOUT,,,1612027465637,1612027475993
56,,192,TIMEDOUT,,,1612027466648,1612027477011
53,,148,TIMEDOUT,,,1612027467907,1612027478023
54,,146,TIMEDOUT,,,1612027468919,1612027479034
52,,173,TIMEDOUT,,,1612027470694,1612027481067
50,,205,TIMEDOUT,,,1612027471707,1612027482071
48,,136,TIMEDOUT,,,1612027472721,1612027483083
57,,158,TIMEDOUT,,,1612027473734,1612027484097
55,,131,TIMEDOUT,,,1612027474746,1612027485103
49,,213,TIMEDOUT,,,1612027475759,1612027486111
51,,115,TIMEDOUT,,,1612027476774,1612027487126
56,,192,TIMEDOUT,,,1612027477788,1612027488138
53,,148,TIMEDOUT,,,1612027478801,1612027489146
54,,146,TIMEDOUT,,,1612027479813,1612027490147
58,,165,TIMEDOUT,,,1612027480826,1612027491166
52,,173,TIMEDOUT,,,1612027481838,1612027492178
50,,205,TIMEDOUT,,,1612027482854,1612027493193
48,,136,TIMEDOUT,,,1612027483866,1612027494209
55,,131,TIMEDOUT,,,1612027485104,1612027495222
49,,213,TIMEDOUT,,,1612027486896,1612027497238
